index,x_m,y_m,yaw_deg,direction,mode,drive_level,event
412,-2.444,10.723,-0.302,-1,2,1.00,NONE
413,-2.245,10.699,4.266,-1,2,1.00,NONE
414,-2.046,10.681,8.067,-1,2,1.00,NONE
415,-1.847,10.685,11.659,-1,2,1.00,NONE
416,-1.650,10.719,13.187,-1,2,1.00,NONE
417,-1.454,10.758,10.999,-1,2,1.00,NONE
418,-1.257,10.793,1.702,-1,2,1.00,NONE
419,-1.067,10.846,-7.110,-1,2,1.00,NONE
420,-0.877,10.901,-13.541,-1,2,1.00,NONE
421,-0.678,10.912,-12.838,-1,2,1.00,NONE
422,-0.505,10.818,4.813,-1,2,1.00,NONE
423,-0.318,10.753,84.432,-1,2,1.00,NONE
424,-0.121,10.717,147.933,-1,2,1.00,NONE
425,0.066,10.736,158.191,-1,2,1.00,NONE
426,-0.084,10.842,160.100,-1,2,1.00,NONE
427,-0.274,10.905,156.197,-1,2,1.00,NONE
428,-0.470,10.941,149.036,-1,2,1.00,NONE
429,-0.651,11.021,145.770,-1,2,1.00,NONE
430,-0.830,11.111,143.164,-1,2,1.00,NONE
431,-0.995,11.222,141.635,-1,2,1.00,NONE
432,-1.150,11.348,141.312,-1,2,1.00,NONE
433,-1.310,11.469,142.142,-1,2,1.00,NONE
434,-1.469,11.590,144.516,-1,2,1.00,NONE
435,-1.622,11.718,147.503,-1,2,1.00,NONE
436,-1.774,11.848,150.618,-1,2,1.00,NONE
437,-1.940,11.959,151.299,-1,2,1.00,NONE
438,-2.118,12.052,150.261,-1,2,1.00,NONE
439,-2.294,12.146,149.706,-1,2,1.00,NONE
440,-2.471,12.240,148.033,-1,2,1.00,NONE
441,-2.642,12.343,147.723,-1,2,1.00,NONE
442,-2.812,12.449,146.463,-1,2,1.00,NONE
443,-2.985,12.550,142.439,-1,2,1.00,NONE
444,-3.149,12.663,137.620,-1,2,1.00,NONE
445,-3.318,12.770,134.001,-1,2,1.00,NONE
446,-3.478,12.890,135.267,-1,2,1.00,NONE
447,-3.615,13.034,142.939,-1,2,1.00,NONE
448,-3.733,13.196,148.923,-1,2,1.00,NONE
449,-3.869,13.341,150.968,-1,2,1.00,NONE
450,-4.036,13.446,145.544,-1,2,1.00,NONE
451,-4.229,13.498,131.187,-1,2,1.00,NONE
452,-4.401,13.598,122.270,-1,2,1.00,NONE
453,-4.558,13.721,133.950,-1,2,1.00,NONE
454,-4.674,13.882,161.527,-1,2,1.00,NONE
455,-4.733,14.073,-160.691,-1,2,1.00,NONE
456,-4.812,14.255,-139.304,-1,2,1.00,NONE
457,-4.990,14.189,-136.387,-1,2,1.00,NONE
458,-5.128,14.044,-145.417,-1,2,1.00,NONE
459,-5.260,13.894,-167.867,-1,2,1.00,NONE
460,-5.398,13.750,166.594,-1,2,1.00,NONE
461,-5.564,13.641,167.337,-1,2,1.00,NONE
462,-5.756,13.604,169.317,-1,2,1.00,NONE
463,-5.885,13.743,160.141,-1,2,1.00,NONE
464,-5.983,13.908,123.124,-1,2,1.00,NONE
465,-6.135,13.792,38.638,-1,2,1.00,NONE
466,-6.300,13.679,38.522,-1,2,1.00,NONE
467,-6.291,13.723,36.943,-1,2,1.00,NONE
468,-6.151,13.866,39.970,-1,2,1.00,NONE
469,-5.976,13.962,45.214,-1,2,1.00,NONE
470,-5.799,14.050,36.696,-1,2,1.00,NONE
471,-5.663,14.194,10.798,-1,2,1.00,NONE
472,-5.557,14.363,-26.587,-1,2,1.00,NONE
473,-5.430,14.517,-53.261,-1,2,1.00,NONE
474,-5.269,14.493,-66.333,-1,2,1.00,NONE
475,-5.159,14.327,-75.940,-1,2,1.00,NONE
476,-5.070,14.148,-93.520,-1,2,1.00,NONE
477,-4.997,13.962,-120.296,-1,2,1.00,NONE
478,-4.950,13.768,-150.724,-1,2,1.00,NONE
479,-4.966,13.571,-173.357,-1,2,1.00,NONE
480,-5.106,13.435,175.487,-1,2,1.00,NONE
481,-5.303,13.420,172.006,-1,2,1.00,NONE
482,-5.501,13.452,170.328,-1,2,1.00,NONE
483,-5.698,13.485,174.781,-1,2,1.00,NONE
484,-5.897,13.497,179.933,-1,2,1.00,NONE
485,-6.094,13.531,-178.983,-1,2,1.00,NONE
486,-6.286,13.586,171.286,-1,2,1.00,NONE
487,-6.400,13.599,155.709,-1,2,1.00,NONE
488,-6.560,13.507,79.483,-1,2,1.00,NONE
489,-6.759,13.490,43.955,-1,2,1.00,NONE
490,-6.878,13.523,8.391,-1,2,1.00,NONE
491,-6.752,13.672,-74.423,-1,2,1.00,NONE
492,-6.578,13.770,-126.984,-1,2,1.00,NONE
493,-6.465,13.824,-137.650,-1,2,1.00,NONE
494,-6.549,13.693,-146.456,-1,2,1.00,NONE
495,-6.565,13.519,-159.451,-1,2,1.00,NONE
496,-6.737,13.420,-161.861,-1,2,1.00,NONE
497,-6.928,13.359,-161.034,-1,2,1.00,NONE
498,-7.121,13.306,-159.316,-1,2,1.00,NONE
499,-7.309,13.240,-157.731,-1,2,1.00,NONE
500,-7.497,13.171,-154.206,-1,2,1.00,NONE
501,-7.684,13.099,-141.963,-1,2,1.00,NONE
502,-7.869,13.024,-115.384,-1,2,1.00,NONE
503,-8.049,12.937,-70.831,-1,2,1.00,NONE
504,-8.214,12.825,-70.617,-1,2,1.00,NONE
505,-8.277,12.654,-114.568,-1,2,1.00,NONE
506,-8.091,12.599,-161.548,-1,2,1.00,NONE
507,-7.911,12.647,-158.325,-1,2,1.00,NONE
508,-8.105,12.643,-150.464,-1,2,1.00,NONE
509,-8.294,12.582,-147.612,-1,2,1.00,NONE
510,-8.466,12.480,-148.254,-1,2,1.00,NONE
511,-8.629,12.363,-149.893,-1,2,1.00,NONE
512,-8.794,12.252,-150.920,-1,2,1.00,NONE
513,-8.969,12.154,-149.847,-1,2,1.00,NONE
514,-9.145,12.060,-143.995,-1,2,1.00,NONE
515,-9.320,11.962,-134.175,-1,2,1.00,NONE
516,-9.493,11.863,-120.023,-1,2,1.00,NONE
517,-9.659,11.754,-109.446,-1,2,1.00,NONE
518,-9.783,11.598,-107.508,-1,2,1.00,NONE
519,-9.857,11.414,-107.960,-1,2,1.00,NONE
520,-9.870,11.214,-111.874,-1,2,1.00,NONE
521,-9.916,11.023,-107.506,-1,2,1.00,NONE
522,-10.018,10.852,-95.005,-1,2,1.00,NONE
523,-10.098,10.669,-89.304,-1,2,1.00,NONE
524,-10.166,10.484,-88.591,-1,2,1.00,NONE
525,-10.152,10.287,-95.706,-1,2,1.00,NONE
526,-10.084,10.099,-107.767,-1,2,1.00,NONE
527,-10.086,9.902,-117.954,-1,2,1.00,NONE
528,-10.145,9.711,-134.472,-1,2,1.00,NONE
529,-10.226,9.529,-163.032,-1,2,1.00,NONE
530,-10.322,9.353,166.906,-1,2,1.00,NONE
531,-10.453,9.205,152.123,-1,2,1.00,NONE
532,-10.608,9.176,149.376,-1,2,1.00,NONE
533,-10.731,9.334,160.379,-1,2,1.00,NONE
534,-10.872,9.475,153.046,-1,2,1.00,NONE
535,-11.057,9.545,128.954,-1,2,1.00,NONE
536,-11.256,9.561,111.635,-1,2,1.00,NONE
537,-11.454,9.588,103.995,-1,2,1.00,NONE
538,-11.460,9.702,115.600,-1,2,1.00,NONE
539,-11.271,9.768,142.739,-1,2,1.00,NONE
540,-11.324,9.905,154.090,-1,2,1.00,NONE
541,-11.475,10.037,162.488,-1,2,1.00,NONE
542,-11.635,10.156,165.870,-1,2,1.00,NONE
543,-11.822,10.223,161.745,-1,2,1.00,NONE
544,-12.020,10.244,158.599,-1,2,1.00,NONE
545,-12.217,10.271,162.709,-1,2,1.00,NONE
546,-12.402,10.347,178.815,-1,2,1.00,NONE
547,-12.561,10.467,-154.699,-1,2,1.00,NONE
548,-12.744,10.532,-129.515,-1,2,1.00,NONE
549,-12.938,10.505,-108.940,-1,2,1.00,NONE
550,-13.084,10.375,-97.998,-1,2,1.00,NONE
551,-13.167,10.193,-95.344,-1,2,1.00,NONE
552,-13.195,9.998,-98.370,-1,2,1.00,NONE
